,smiles,value,cano_smiles
45,C1=CC(=C(C=C1CP(=O)(CCC(C(=O)O)N)O)OC(F)(F)F)OCC(=O)O,-3.0863598306747484,NC(CCP(=O)(O)Cc1ccc(OCC(=O)O)c(OC(F)(F)F)c1)C(=O)O
46,COC1=C(C=C(C=C1)NC(=O)C2=CC=CC=N2)OC,-3.380211241711606,COc1ccc(NC(=O)c2ccccn2)cc1OC
47,COC1=C(C=CC(=C1)NC(=O)C2=CC=CC=N2)Cl,-2.041392685158225,COc1cc(NC(=O)c2ccccn2)ccc1Cl
48,C1=CC=NC(=C1)C(=O)NC2=CC(=C(C=C2)NC(=O)C3=NC=CS3)Cl,-2.7267272090265724,O=C(Nc1ccc(NC(=O)c2nccs2)c(Cl)c1)c1ccccn1
49,C1=CC(=CC=C1C(O)P(=O)(CCC(C(=O)O)N)O)OCC(=O)O,-2.041392685158225,NC(CCP(=O)(O)C(O)c1ccc(OCC(=O)O)cc1)C(=O)O
50,C1=CC(=C(C=C1CP(=O)(CCC(C(=O)O)N)O)OC(F)(F)F)OCC(=O)O,-3.0863598306747484,NC(CCP(=O)(O)Cc1ccc(OCC(=O)O)c(OC(F)(F)F)c1)C(=O)O
51,C1=CC(=C(C=C1C(O)P(=O)(CCC(C(=O)O)N)O)[N+](=O)[O-])SCC(=O)O,-3.0413926851582254,NC(CCP(=O)(O)C(O)c1ccc(SCC(=O)O)c([N+](=O)[O-])c1)C(=O)O
52,C1=CC=C(C=C1)C(=O)NC2=C(C=C(C=C2)NC(=O)C3=CC=CC=N3)Cl,-2.714329759745233,O=C(Nc1ccc(NC(=O)c2ccccn2)cc1Cl)c1ccccc1
53,C1=CC(=C(C=C1C(O)P(=O)(CCC(C(=O)O)N)O)C(=O)O)OCC(=O)O,-3.6020599913279625,NC(CCP(=O)(O)C(O)c1ccc(OCC(=O)O)c(C(=O)O)c1)C(=O)O
54,C1=CC(=CC=C1CCC(=O)O)C(O)P(=O)(CCC(C(=O)O)N)O,-2.991226075692495,NC(CCP(=O)(O)C(O)c1ccc(CCC(=O)O)cc1)C(=O)O
55,C1CCC2C(C1)C(=O)N(C2=O)C3=C(C=C(C=C3)NC(=O)C4=CC=CC=N4)Cl,-2.8095597146352675,O=C(Nc1ccc(N2C(=O)C3CCCCC3C2=O)c(Cl)c1)c1ccccn1
56,C1=CC=NC(=C1)C(=O)NC2=CC(=C(C=C2)NC(=O)C3=CC=CS3)Cl,-3.05307844348342,O=C(Nc1ccc(NC(=O)c2cccs2)c(Cl)c1)c1ccccn1
57,C1=CC=NC(=C1)C(=O)NC2=CC(=CC=C2)OC(F)F,-1.9030899869919435,O=C(Nc1cccc(OC(F)F)c1)c1ccccn1
58,C1CCC2C(C1)C(=O)N(C2=O)C3=C(C=C(C=C3)NC(=O)C4=CC=CC=N4)Cl,-2.812913356642856,O=C(Nc1ccc(N2C(=O)C3CCCCC3C2=O)c(Cl)c1)c1ccccn1
